in,em,ba,hs,en,ag,hh,he,be,ci,sample_used_benefits,sample_total,total_weighted_pop,weighted_used_benefits,rate
*,NO,NO,YES,*,NO,*,*,YES,YES,1222,1371,"8,623,001","7,663,503",0.8887
YES,NO,NO,*,*,YES,NO,NO,NO,*,0,1371,"7,085,795",0,0.0000
*,*,*,*,*,NO,*,YES,*,NO,239,1370,"11,616,072","1,911,863",0.1646
*,*,NO,*,YES,*,NO,NO,YES,YES,1265,1370,"7,090,867","6,496,342",0.9162
YES,*,NO,YES,*,YES,NO,NO,*,YES,145,1370,"7,143,731","715,312",0.1001
*,NO,YES,YES,*,YES,*,YES,*,*,62,1370,"8,933,749","401,644",0.0450
*,NO,YES,*,*,YES,*,YES,*,*,62,1370,"8,933,749","401,644",0.0450
NO,*,NO,*,*,*,YES,*,YES,YES,1247,1369,"7,477,660","6,713,841",0.8979
*,NO,NO,*,YES,NO,*,NO,*,*,686,1369,"7,783,093","3,654,192",0.4695
NO,*,*,YES,*,*,NO,*,YES,YES,1212,1367,"8,167,104","7,258,499",0.8887
YES,*,*,YES,YES,NO,NO,NO,*,YES,250,1367,"9,069,558","1,562,474",0.1723
NO,NO,*,*,*,*,*,NO,*,*,860,1367,"6,910,018","4,386,823",0.6348
*,YES,NO,YES,*,*,YES,YES,*,*,239,1367,"10,309,637","1,653,404",0.1604
NO,YES,*,*,YES,NO,*,*,NO,*,2,1366,"8,945,631","11,668",0.0013
YES,*,NO,YES,YES,YES,NO,NO,*,*,143,1366,"7,090,225","696,258",0.0982
NO,YES,NO,YES,*,NO,*,YES,*,*,389,1366,"9,133,168","2,632,678",0.2883
NO,NO,NO,YES,*,NO,*,*,*,*,697,1366,"8,232,968","4,104,839",0.4986
NO,NO,*,YES,*,*,*,YES,*,YES,568,1365,"8,408,045","3,391,799",0.4034
YES,NO,*,YES,*,YES,*,NO,NO,*,0,1365,"7,393,234",0,0.0000
YES,NO,NO,*,YES,YES,*,YES,YES,*,1209,1365,"8,998,141","7,926,698",0.8809
NO,*,*,*,YES,*,YES,*,YES,YES,1242,1364,"7,518,352","6,740,755",0.8966
NO,NO,*,*,YES,NO,NO,*,*,YES,719,1364,"8,031,059","4,110,380",0.5118
NO,*,*,*,*,YES,*,*,NO,*,3,1364,"7,887,574","6,450",0.0008
NO,*,*,*,YES,YES,YES,*,*,*,853,1364,"7,635,711","4,458,982",0.5840
YES,NO,NO,*,*,YES,NO,NO,NO,YES,0,1363,"7,029,438",0,0.0000
*,YES,NO,*,YES,YES,*,*,NO,YES,0,1363,"7,738,694",0,0.0000
*,NO,NO,*,YES,NO,NO,*,YES,YES,1232,1363,"8,234,307","7,419,131",0.9010
YES,YES,NO,*,*,YES,*,*,*,YES,54,1362,"7,843,989","325,525",0.0415
NO,NO,*,*,*,*,NO,YES,YES,YES,1247,1361,"8,136,827","7,477,885",0.9190
NO,*,*,*,*,*,NO,NO,*,YES,801,1361,"6,931,129","4,106,266",0.5924
YES,*,NO,NO,YES,YES,*,*,YES,*,1220,1361,"8,737,055","7,766,108",0.8889
YES,*,*,NO,YES,YES,*,*,YES,*,1220,1361,"8,737,055","7,766,108",0.8889
NO,*,NO,*,YES,YES,YES,*,*,*,851,1361,"7,626,422","4,451,162",0.5837
YES,YES,NO,*,YES,YES,*,*,*,*,55,1361,"7,824,560","338,696",0.0433
YES,NO,NO,NO,*,YES,*,*,YES,YES,1225,1360,"8,771,953","7,831,485",0.8928
YES,NO,*,NO,*,YES,*,*,YES,YES,1225,1360,"8,771,953","7,831,485",0.8928
YES,*,NO,YES,YES,YES,NO,NO,*,YES,140,1360,"7,050,191","676,239",0.0959
NO,*,*,*,*,YES,YES,*,*,YES,851,1360,"7,600,970","4,429,953",0.5828
*,YES,NO,YES,*,*,YES,*,*,YES,248,1360,"10,094,358","1,698,022",0.1682
YES,NO,*,YES,*,YES,*,NO,NO,YES,0,1359,"7,351,572",0,0.0000
*,NO,NO,*,*,NO,*,NO,*,YES,684,1359,"7,708,193","3,613,244",0.4688
NO,NO,NO,*,*,*,NO,YES,YES,*,1243,1359,"8,128,177","7,440,256",0.9154
*,YES,*,*,*,*,NO,NO,*,*,203,1359,"8,803,886","1,324,791",0.1505
*,NO,YES,YES,*,YES,*,YES,*,YES,58,1358,"8,837,403","362,329",0.0410
*,NO,YES,*,*,YES,*,YES,*,YES,58,1358,"8,837,403","362,329",0.0410
NO,YES,*,*,YES,NO,NO,YES,*,*,355,1358,"9,174,570","2,498,848",0.2724
YES,*,NO,*,YES,NO,YES,*,NO,YES,3,1357,"10,989,426","25,113",0.0023
*,YES,NO,*,YES,*,*,*,YES,YES,1131,1357,"9,265,388","7,824,543",0.8445
NO,YES,*,YES,*,*,NO,*,*,YES,373,1357,"8,980,227","2,523,617",0.2810
YES,NO,NO,*,YES,YES,NO,NO,NO,*,0,1357,"6,997,401",0,0.0000
YES,NO,*,YES,YES,YES,*,NO,NO,*,0,1357,"7,334,869",0,0.0000
NO,*,NO,YES,*,NO,*,YES,NO,*,1,1357,"8,913,898","1,910",0.0002
*,YES,*,*,YES,*,*,YES,YES,YES,1111,1356,"9,695,435","8,092,014",0.8346
*,NO,NO,YES,YES,NO,*,*,YES,YES,1207,1356,"8,531,858","7,572,360",0.8875
NO,*,NO,*,*,YES,YES,*,*,YES,848,1356,"7,587,011","4,417,463",0.5822
*,NO,YES,YES,YES,YES,*,YES,*,*,58,1356,"8,835,374","370,145",0.0419
*,NO,YES,*,YES,YES,*,YES,*,*,58,1356,"8,835,374","370,145",0.0419
NO,*,*,*,*,YES,NO,*,YES,YES,1255,1355,"7,562,388","7,014,979",0.9276
YES,YES,*,YES,YES,*,YES,YES,NO,*,0,1355,"11,318,536",0,0.0000
NO,NO,*,*,*,YES,NO,*,YES,*,1260,1355,"7,607,717","7,085,264",0.9313
*,YES,NO,*,YES,*,YES,*,NO,*,1,1354,"10,213,401","2,791",0.0003
NO,*,*,*,*,NO,*,YES,YES,*,1168,1354,"8,730,032","7,603,596",0.8710
NO,*,NO,NO,*,*,NO,*,YES,*,1254,1354,"7,649,783","7,110,084",0.9294
NO,*,*,NO,*,*,NO,*,YES,*,1254,1354,"7,649,783","7,110,084",0.9294
YES,NO,*,YES,YES,YES,*,NO,NO,YES,0,1353,"7,307,138",0,0.0000
*,YES,*,YES,*,NO,*,*,YES,YES,1115,1353,"9,824,674","8,265,977",0.8413
*,*,*,*,YES,*,*,*,*,NO,264,1352,"11,499,542","2,079,401",0.1808
*,*,NO,YES,YES,NO,NO,YES,YES,*,1153,1352,"9,505,816","8,207,713",0.8634
YES,NO,NO,*,YES,YES,NO,NO,NO,YES,0,1351,"6,954,084",0,0.0000
*,YES,NO,*,*,YES,NO,*,NO,*,0,1351,"7,767,221",0,0.0000
*,*,*,*,*,*,*,*,NO,NO,3,1350,"11,388,133","24,349",0.0021
YES,YES,*,*,YES,NO,YES,YES,NO,YES,1,1350,"11,368,357","2,791",0.0002
*,NO,YES,YES,YES,YES,*,YES,*,YES,56,1350,"8,778,464","346,596",0.0395
*,NO,YES,*,YES,YES,*,YES,*,YES,56,1350,"8,778,464","346,596",0.0395
YES,YES,*,YES,*,NO,YES,YES,NO,*,0,1349,"11,411,121",0,0.0000
YES,NO,NO,NO,*,*,*,YES,YES,*,1200,1349,"9,033,730","7,997,689",0.8853
YES,NO,*,NO,*,*,*,YES,YES,*,1200,1349,"9,033,730","7,997,689",0.8853
NO,*,NO,NO,*,YES,YES,*,*,*,859,1349,"7,620,415","4,519,772",0.5931
NO,*,*,NO,*,YES,YES,*,*,*,859,1349,"7,620,415","4,519,772",0.5931
NO,*,*,*,YES,*,NO,NO,*,*,781,1348,"6,842,364","3,969,943",0.5802
NO,YES,*,YES,YES,NO,NO,*,*,*,372,1348,"9,122,193","2,624,045",0.2877
YES,*,NO,NO,YES,*,*,YES,YES,YES,1190,1347,"8,966,181","7,874,401",0.8782
YES,*,*,NO,YES,*,*,YES,YES,YES,1190,1347,"8,966,181","7,874,401",0.8782
NO,YES,NO,*,*,*,NO,*,*,YES,398,1347,"8,645,771","2,578,787",0.2983
NO,*,NO,YES,*,NO,*,*,YES,*,1163,1347,"8,370,301","7,243,464",0.8654
YES,*,*,*,*,NO,NO,*,YES,YES,1141,1346,"9,590,018","8,179,285",0.8529
NO,NO,*,YES,YES,*,*,YES,*,YES,556,1346,"8,287,386","3,312,011",0.3996
YES,NO,NO,*,YES,YES,*,YES,YES,YES,1192,1345,"8,864,638","7,807,717",0.8808
NO,NO,*,*,YES,YES,YES,*,*,*,847,1345,"7,560,422","4,443,529",0.5877
NO,*,*,YES,*,NO,NO,*,NO,YES,3,1344,"8,785,752","20,596",0.0023
YES,YES,*,YES,*,NO,YES,*,NO,YES,0,1344,"11,227,225",0,0.0000
YES,*,NO,YES,*,NO,YES,YES,*,YES,191,1344,"10,938,007","1,452,290",0.1328
YES,*,*,*,YES,NO,*,NO,NO,*,5,1344,"9,082,112","50,456",0.0056
NO,*,*,YES,YES,*,NO,*,YES,YES,1189,1343,"7,987,874","7,091,334",0.8878
*,YES,NO,*,YES,NO,YES,YES,*,YES,237,1343,"10,139,796","1,621,501",0.1599
*,NO,*,*,*,*,NO,NO,YES,*,1262,1343,"6,932,483","6,481,085",0.9349
*,NO,*,YES,YES,*,*,YES,YES,*,1170,1343,"8,908,056","7,732,931",0.8681
NO,NO,*,*,*,YES,YES,*,*,YES,846,1342,"7,529,894","4,418,713",0.5868
NO,*,NO,*,*,YES,NO,*,YES,*,1246,1342,"7,492,547","6,963,140",0.9293
NO,NO,NO,*,YES,YES,YES,*,*,*,845,1342,"7,551,132","4,435,708",0.5874
NO,YES,*,YES,YES,*,NO,*,*,YES,368,1341,"8,838,998","2,488,041",0.2815
NO,YES,NO,*,*,*,*,*,NO,*,1,1341,"8,669,032","1,910",0.0002
YES,NO,*,*,*,*,NO,YES,YES,*,1166,1341,"9,154,023","7,934,904",0.8668
YES,NO,NO,NO,YES,YES,*,*,YES,*,1205,1341,"8,630,934","7,686,677",0.8906
YES,NO,*,NO,YES,YES,*,*,YES,*,1205,1341,"8,630,934","7,686,677",0.8906
NO,NO,NO,NO,*,*,YES,YES,*,YES,850,1340,"7,588,724","4,461,345",0.5879
NO,NO,*,NO,*,*,YES,YES,*,YES,850,1340,"7,588,724","4,461,345",0.5879
NO,NO,NO,NO,*,*,NO,YES,*,*,839,1340,"8,008,738","4,951,673",0.6183
NO,NO,*,NO,*,*,NO,YES,*,*,839,1340,"8,008,738","4,951,673",0.6183
NO,NO,NO,NO,*,YES,YES,*,*,*,854,1340,"7,579,363","4,506,748",0.5946
NO,NO,*,NO,*,YES,YES,*,*,*,854,1340,"7,579,363","4,506,748",0.5946
YES,NO,NO,YES,*,NO,NO,YES,NO,*,5,1339,"10,548,217","14,744",0.0014
YES,*,NO,YES,YES,*,YES,*,NO,*,0,1339,"10,590,798",0,0.0000
NO,*,*,*,YES,NO,NO,*,YES,*,1178,1339,"8,247,365","7,287,549",0.8836
YES,YES,NO,*,*,*,YES,*,*,*,178,1339,"10,537,421","1,308,865",0.1242
NO,*,NO,*,YES,*,YES,*,YES,YES,1218,1338,"7,310,144","6,554,918",0.8967
YES,*,NO,NO,YES,YES,*,*,YES,YES,1199,1338,"8,585,193","7,625,576",0.8882
YES,*,*,NO,YES,YES,*,*,YES,YES,1199,1338,"8,585,193","7,625,576",0.8882
*,NO,NO,*,YES,NO,*,NO,*,YES,673,1338,"7,573,541","3,571,106",0.4715
NO,NO,NO,*,*,YES,YES,*,*,YES,843,1338,"7,515,935","4,406,223",0.5863
*,NO,YES,YES,*,YES,NO,YES,*,*,54,1338,"8,724,460","354,023",0.0406
*,NO,YES,*,*,YES,NO,YES,*,*,54,1338,"8,724,460","354,023",0.0406
NO,NO,*,*,YES,*,NO,YES,YES,YES,1225,1337,"7,984,605","7,331,908",0.9183
YES,YES,NO,*,YES,YES,*,*,*,YES,50,1337,"7,653,084","301,386",0.0394
YES,*,NO,YES,*,*,NO,*,YES,*,1159,1337,"8,951,991","7,825,501",0.8742
YES,*,*,*,YES,NO,*,YES,YES,*,1116,1336,"10,238,565","8,653,360",0.8452
NO,*,*,*,*,*,YES,YES,YES,*,1215,1335,"7,480,884","6,722,348",0.8986
NO,*,*,YES,YES,NO,NO,*,NO,YES,3,1334,"8,693,413","20,596",0.0024
*,YES,*,YES,*,*,*,NO,*,*,209,1334,"8,870,991","1,442,393",0.1626
YES,*,*,*,*,NO,*,NO,NO,YES,4,1333,"8,987,322","45,435",0.0051
NO,*,*,*,YES,YES,YES,*,*,YES,833,1333,"7,453,166","4,339,440",0.5822
*,*,NO,*,YES,NO,*,NO,NO,*,5,1333,"8,571,926","34,106",0.0040
YES,YES,*,YES,YES,NO,YES,*,NO,YES,0,1332,"11,116,686",0,0.0000
YES,YES,NO,*,*,YES,NO,*,*,*,55,1332,"7,722,633","344,696",0.0446
NO,YES,NO,*,YES,NO,NO,*,*,*,389,1331,"8,742,048","2,598,383",0.2972
NO,NO,NO,YES,YES,NO,*,*,*,*,681,1331,"8,032,546","4,015,469",0.4999
*,YES,*,YES,YES,NO,*,*,YES,YES,1095,1330,"9,637,184","8,114,549",0.8420
NO,*,NO,*,YES,YES,YES,*,*,YES,831,1330,"7,443,876","4,331,620",0.5819
YES,NO,*,YES,*,YES,NO,NO,NO,*,0,1330,"7,217,122",0,0.0000
NO,*,*,*,YES,YES,*,*,NO,*,3,1330,"7,682,928","6,450",0.0008
NO,*,*,*,YES,YES,NO,*,YES,*,1231,1330,"7,377,101","6,832,309",0.9262
YES,*,*,*,YES,NO,NO,*,YES,YES,1124,1329,"9,452,668","8,041,935",0.8508
*,YES,NO,YES,YES,*,YES,*,*,YES,239,1329,"9,836,061","1,640,431",0.1668
NO,*,NO,*,*,*,NO,NO,*,*,782,1329,"6,767,549","4,004,394",0.5917
*,YES,NO,YES,*,NO,YES,YES,*,*,238,1329,"10,112,405","1,647,945",0.1630
*,NO,YES,YES,*,YES,NO,YES,*,YES,51,1328,"8,647,881","325,563",0.0376
*,NO,YES,*,*,YES,NO,YES,*,YES,51,1328,"8,647,881","325,563",0.0376
NO,NO,NO,*,*,NO,NO,*,*,*,716,1328,"7,733,311","4,071,750",0.5265
YES,YES,NO,*,*,YES,*,*,NO,*,0,1327,"7,674,144",0,0.0000
*,NO,YES,YES,YES,YES,NO,YES,*,*,52,1327,"8,649,521","338,050",0.0391
*,NO,YES,*,YES,YES,NO,YES,*,*,52,1327,"8,649,521","338,050",0.0391
NO,YES,*,*,*,*,NO,YES,*,YES,353,1326,"8,782,758","2,403,241",0.2736
YES,NO,*,YES,YES,YES,NO,NO,NO,*,0,1326,"7,184,990",0,0.0000
*,NO,*,*,*,NO,NO,NO,*,*,602,1326,"7,581,884","3,186,432",0.4203
YES,NO,*,YES,*,YES,NO,NO,NO,YES,0,1325,"7,179,740",0,0.0000
YES,NO,NO,YES,YES,NO,NO,YES,NO,*,5,1325,"10,440,633","14,744",0.0014
NO,NO,NO,*,YES,*,NO,YES,YES,*,1211,1325,"7,938,563","7,256,888",0.9141
NO,NO,*,*,*,YES,NO,*,YES,YES,1229,1324,"7,415,622","6,893,169",0.9295
*,YES,NO,*,*,YES,NO,*,NO,YES,0,1323,"7,577,796",0,0.0000
NO,*,*,*,*,YES,YES,YES,*,*,833,1323,"7,445,497","4,358,837",0.5854
NO,YES,NO,YES,YES,NO,*,YES,*,*,380,1323,"8,795,497","2,568,158",0.2920
YES,NO,*,YES,YES,YES,NO,NO,NO,YES,0,1322,"7,157,258",0,0.0000
YES,NO,NO,NO,YES,YES,*,*,YES,YES,1188,1322,"8,510,403","7,577,475",0.8904
YES,NO,*,NO,YES,YES,*,*,YES,YES,1188,1322,"8,510,403","7,577,475",0.8904
*,NO,YES,YES,YES,YES,NO,YES,*,YES,50,1322,"8,601,522","314,501",0.0366
*,NO,YES,*,YES,YES,NO,YES,*,YES,50,1322,"8,601,522","314,501",0.0366
YES,*,NO,YES,YES,NO,YES,YES,*,YES,180,1321,"10,746,050","1,367,714",0.1273
NO,YES,*,*,*,NO,*,YES,NO,*,2,1321,"8,791,190","11,668",0.0013
NO,*,NO,*,*,YES,YES,YES,*,*,832,1321,"7,439,358","4,354,168",0.5853
NO,*,*,*,*,YES,*,*,NO,YES,3,1320,"7,641,631","6,450",0.0008
NO,YES,*,*,*,*,*,*,NO,YES,2,1320,"8,433,913","11,668",0.0014
NO,*,*,*,YES,*,NO,NO,*,YES,767,1320,"6,647,970","3,878,332",0.5834
*,*,NO,NO,*,*,*,NO,*,YES,639,1320,"6,669,431","3,208,036",0.4810
*,*,*,NO,*,*,*,NO,*,YES,639,1320,"6,669,431","3,208,036",0.4810
NO,NO,*,*,*,*,*,NO,*,YES,833,1320,"6,614,735","4,215,639",0.6373
NO,*,NO,NO,*,*,*,*,NO,*,3,1320,"8,023,071","8,661",0.0011
NO,*,*,NO,*,*,*,*,NO,*,3,1320,"8,023,071","8,661",0.0011
*,*,NO,YES,*,NO,NO,YES,YES,YES,1126,1319,"9,186,776","7,947,747",0.8651
*,YES,NO,*,YES,YES,NO,*,NO,*,0,1319,"7,534,677",0,0.0000
NO,NO,*,*,YES,NO,*,YES,*,*,581,1319,"8,367,445","3,566,431",0.4262
*,NO,*,YES,*,*,*,YES,YES,YES,1154,1317,"8,669,190","7,581,040",0.8745
YES,YES,*,YES,YES,NO,YES,YES,NO,*,0,1317,"11,113,302",0,0.0000
NO,*,NO,YES,YES,NO,*,*,YES,*,1137,1317,"8,175,784","7,082,230",0.8662
YES,*,*,*,YES,NO,*,NO,NO,YES,4,1316,"8,855,679","45,435",0.0051
NO,YES,NO,*,YES,*,NO,*,*,YES,386,1316,"8,393,738","2,500,722",0.2979
*,*,*,YES,*,NO,NO,NO,NO,*,5,1316,"8,733,371","48,173",0.0055
NO,*,NO,NO,YES,YES,YES,*,*,*,837,1316,"7,446,640","4,409,029",0.5921
NO,*,*,NO,YES,YES,YES,*,*,*,837,1316,"7,446,640","4,409,029",0.5921
*,*,NO,*,*,NO,*,NO,NO,YES,4,1315,"8,416,620","29,086",0.0035
NO,NO,NO,NO,YES,*,YES,YES,*,YES,832,1315,"7,447,929","4,358,939",0.5853
NO,NO,*,NO,YES,*,YES,YES,*,YES,832,1315,"7,447,929","4,358,939",0.5853
*,YES,NO,YES,*,NO,YES,*,*,YES,245,1315,"9,861,982","1,672,518",0.1696
NO,NO,*,*,YES,YES,YES,*,*,YES,828,1315,"7,382,090","4,328,200",0.5863
NO,NO,NO,*,*,*,NO,*,NO,*,5,1315,"7,521,073","20,723",0.0028
NO,*,NO,*,*,*,YES,YES,YES,*,1196,1315,"7,321,492","6,574,283",0.8979
*,YES,*,YES,*,*,*,YES,YES,*,1077,1314,"9,717,494","8,127,766",0.8364
*,YES,*,*,YES,*,NO,*,YES,*,1072,1314,"9,383,153","7,816,796",0.8331
NO,NO,NO,*,*,YES,NO,*,YES,*,1221,1313,"7,357,591","6,849,822",0.9310
YES,*,NO,*,*,NO,NO,NO,*,*,300,1313,"8,412,548","1,750,295",0.2081
YES,YES,*,YES,*,*,YES,YES,NO,YES,0,1312,"10,939,830",0,0.0000
NO,*,NO,*,*,YES,NO,*,YES,YES,1216,1312,"7,315,893","6,786,486",0.9276
NO,NO,NO,*,YES,YES,YES,*,*,YES,826,1312,"7,372,801","4,320,380",0.5860
YES,NO,*,*,YES,*,NO,YES,YES,*,1138,1312,"8,947,692","7,736,113",0.8646
*,YES,*,*,YES,*,NO,NO,*,*,190,1312,"8,469,165","1,240,425",0.1465
*,*,NO,NO,YES,NO,NO,*,*,*,427,1312,"8,153,412","2,447,760",0.3002
*,*,*,NO,YES,NO,NO,*,*,*,427,1312,"8,153,412","2,447,760",0.3002
NO,*,NO,NO,*,YES,YES,*,*,YES,834,1311,"7,406,401","4,375,330",0.5907
NO,*,*,NO,*,YES,YES,*,*,YES,834,1311,"7,406,401","4,375,330",0.5907
*,YES,NO,*,*,*,*,YES,YES,*,1098,1311,"9,190,169","7,794,559",0.8481
NO,NO,NO,*,*,*,NO,YES,YES,YES,1199,1310,"7,803,976","7,159,212",0.9174
NO,*,*,*,YES,YES,NO,*,YES,YES,1210,1309,"7,247,582","6,702,789",0.9248
NO,*,NO,YES,YES,NO,*,YES,NO,*,1,1309,"8,571,381","1,910",0.0002
*,YES,*,YES,YES,*,*,NO,*,*,201,1309,"8,659,406","1,390,544",0.1606
NO,NO,*,*,*,YES,YES,YES,*,*,828,1309,"7,390,538","4,345,814",0.5880
YES,NO,YES,YES,*,YES,*,YES,*,*,41,1309,"8,552,196","279,913",0.0327
YES,NO,YES,*,*,YES,*,YES,*,*,41,1309,"8,552,196","279,913",0.0327
*,NO,*,*,*,*,NO,NO,YES,YES,1230,1308,"6,714,044","6,278,564",0.9351
*,*,NO,YES,YES,NO,NO,YES,YES,YES,1116,1308,"9,097,955","7,870,989",0.8651
YES,NO,*,*,*,*,NO,YES,YES,YES,1138,1308,"8,862,214","7,687,242",0.8674
NO,*,NO,*,*,YES,*,*,NO,*,3,1308,"7,513,977","6,450",0.0009
*,YES,NO,*,*,NO,YES,YES,NO,*,1,1307,"10,063,922","2,791",0.0003
*,*,NO,NO,YES,*,*,NO,*,*,623,1307,"6,614,007","3,088,191",0.4669
*,*,*,NO,YES,*,*,NO,*,*,623,1307,"6,614,007","3,088,191",0.4669
NO,NO,NO,*,*,YES,YES,YES,*,*,827,1307,"7,384,399","4,341,144",0.5879
*,YES,NO,YES,YES,*,YES,YES,*,*,224,1307,"9,810,642","1,554,879",0.1585
NO,NO,NO,NO,YES,YES,YES,*,*,*,832,1307,"7,405,589","4,396,006",0.5936
NO,NO,*,NO,YES,YES,YES,*,*,*,832,1307,"7,405,589","4,396,006",0.5936
YES,NO,NO,NO,YES,*,*,YES,YES,*,1159,1306,"8,707,992","7,689,757",0.8831
YES,NO,*,NO,YES,*,*,YES,YES,*,1159,1306,"8,707,992","7,689,757",0.8831
YES,*,NO,YES,YES,*,NO,*,YES,*,1131,1306,"8,674,336","7,563,594",0.8720
YES,NO,NO,NO,*,*,*,YES,YES,YES,1159,1305,"8,692,147","7,672,334",0.8827
YES,NO,*,NO,*,*,*,YES,YES,YES,1159,1305,"8,692,147","7,672,334",0.8827
*,*,*,YES,YES,NO,NO,NO,NO,*,5,1304,"8,612,477","48,173",0.0056
NO,YES,*,*,YES,*,*,YES,NO,*,2,1304,"8,524,423","11,668",0.0014
*,NO,*,*,YES,NO,YES,*,*,*,432,1304,"9,475,340","2,710,334",0.2860
YES,NO,YES,YES,*,YES,*,YES,*,YES,40,1303,"8,504,060","269,058",0.0316
YES,NO,YES,*,*,YES,*,YES,*,YES,40,1303,"8,504,060","269,058",0.0316
NO,NO,NO,NO,*,YES,YES,*,*,YES,830,1303,"7,369,563","4,366,520",0.5925
NO,NO,*,NO,*,YES,YES,*,*,YES,830,1303,"7,369,563","4,366,520",0.5925
NO,NO,*,*,YES,*,*,NO,*,*,809,1303,"6,485,394","4,053,859",0.6251
YES,YES,NO,*,YES,YES,NO,*,*,*,51,1303,"7,488,330","307,465",0.0411
YES,*,NO,YES,*,*,YES,*,NO,YES,0,1302,"10,260,380",0,0.0000
NO,YES,NO,YES,*,*,*,YES,*,YES,368,1302,"8,556,491","2,458,184",0.2873
YES,YES,NO,*,*,YES,NO,*,*,YES,48,1302,"7,497,469","283,712",0.0378
YES,NO,YES,YES,YES,YES,*,YES,*,*,40,1301,"8,494,214","269,058",0.0317
YES,NO,YES,*,YES,YES,*,YES,*,*,40,1301,"8,494,214","269,058",0.0317
*,YES,NO,*,YES,YES,NO,*,NO,YES,0,1300,"7,399,081",0,0.0000
NO,*,*,*,YES,YES,*,*,NO,YES,3,1300,"7,514,140","6,450",0.0009
NO,NO,NO,*,*,*,*,NO,*,*,821,1300,"6,510,316","4,149,696",0.6374
NO,YES,NO,*,*,*,NO,YES,*,*,350,1300,"8,624,248","2,346,747",0.2721
YES,YES,*,YES,YES,*,YES,YES,NO,YES,0,1299,"10,825,238",0,0.0000
*,YES,*,*,*,NO,*,YES,YES,YES,1071,1299,"9,429,846","7,921,845",0.8401
*,YES,NO,*,*,NO,*,*,YES,YES,1087,1299,"9,049,991","7,664,862",0.8469
NO,*,NO,NO,*,YES,YES,YES,*,*,824,1299,"7,353,991","4,329,071",0.5887
NO,*,*,NO,*,YES,YES,YES,*,*,824,1299,"7,353,991","4,329,071",0.5887
NO,YES,*,*,YES,*,NO,YES,*,YES,342,1298,"8,553,174","2,331,956",0.2726
NO,NO,*,*,YES,YES,NO,*,YES,*,1204,1298,"7,226,044","6,706,208",0.9281
*,NO,*,*,YES,NO,NO,NO,*,*,588,1298,"7,395,001","3,104,921",0.4199
NO,NO,NO,NO,YES,*,NO,YES,*,*,813,1298,"7,750,286","4,808,722",0.6205
NO,NO,*,NO,YES,*,NO,YES,*,*,813,1298,"7,750,286","4,808,722",0.6205
YES,NO,YES,YES,YES,YES,*,YES,*,YES,40,1297,"8,460,853","269,058",0.0318
YES,NO,YES,*,YES,YES,*,YES,*,YES,40,1297,"8,460,853","269,058",0.0318
*,NO,*,YES,YES,*,*,YES,YES,YES,1133,1296,"8,511,652","7,423,503",0.8722
YES,*,NO,YES,*,*,NO,*,YES,YES,1124,1296,"8,590,609","7,504,135",0.8735
*,NO,*,*,*,NO,NO,NO,*,YES,589,1296,"7,396,371","3,099,415",0.4190
*,NO,YES,YES,*,YES,*,YES,NO,*,0,1296,"8,457,240",0,0.0000
*,NO,YES,*,*,YES,*,YES,NO,*,0,1296,"8,457,240",0,0.0000
YES,*,NO,*,*,NO,YES,YES,NO,YES,2,1295,"10,581,424","13,903",0.0013
YES,YES,NO,*,*,YES,*,*,NO,YES,0,1295,"7,448,325",0,0.0000
*,YES,*,*,*,*,NO,NO,*,YES,182,1295,"8,327,292","1,177,019",0.1413
YES,YES,NO,*,YES,YES,*,*,NO,*,0,1293,"7,415,725",0,0.0000
NO,*,*,*,YES,YES,YES,YES,*,*,813,1293,"7,295,735","4,260,405",0.5840
*,*,*,YES,*,NO,NO,NO,NO,YES,4,1292,"8,533,568","43,153",0.0051
*,*,NO,*,YES,NO,*,NO,NO,YES,4,1292,"8,234,421","29,086",0.0035
NO,*,NO,*,YES,YES,YES,YES,*,*,813,1292,"7,294,265","4,260,405",0.5841
YES,*,*,*,*,NO,*,YES,YES,YES,1079,1291,"9,800,860","8,259,256",0.8427
NO,*,*,*,*,NO,NO,*,YES,YES,1143,1291,"7,814,006","6,951,817",0.8897
*,NO,*,*,*,NO,*,YES,YES,*,1131,1291,"8,743,885","7,647,780",0.8746
YES,NO,NO,YES,*,NO,NO,YES,NO,YES,5,1290,"10,086,477","14,744",0.0015
*,YES,*,YES,*,*,*,NO,*,YES,194,1290,"8,497,473","1,322,223",0.1556
NO,*,*,*,*,YES,YES,YES,*,YES,812,1290,"7,261,602","4,238,360",0.5837
NO,NO,NO,NO,*,YES,YES,YES,*,*,819,1290,"7,312,940","4,316,048",0.5902
NO,NO,*,NO,*,YES,YES,YES,*,*,819,1290,"7,312,940","4,316,048",0.5902
YES,*,NO,NO,*,NO,*,*,*,*,285,1289,"8,980,624","1,900,168",0.2116
YES,*,*,NO,*,NO,*,*,*,*,285,1289,"8,980,624","1,900,168",0.2116
*,NO,YES,YES,*,YES,*,YES,NO,YES,0,1288,"8,400,209",0,0.0000
*,NO,YES,*,*,YES,*,YES,NO,YES,0,1288,"8,400,209",0,0.0000
NO,*,NO,*,*,YES,YES,YES,*,YES,811,1288,"7,255,463","4,233,690",0.5835
*,YES,NO,*,YES,NO,YES,*,NO,*,1,1288,"9,853,213","2,791",0.0003
NO,NO,NO,*,YES,NO,NO,*,*,*,697,1288,"7,497,210","3,986,044",0.5317
