in,em,ba,hs,en,ag,hh,he,be,sample_used_benefits,sample_total,total_weighted_pop,weighted_used_benefits,rate
*,NO,*,NO,*,*,YES,YES,*,64,143,981780.30,453713.25,0.4621
YES,YES,*,*,NO,NO,*,*,*,30,143,1100413.64,200974.28,0.1826
NO,YES,*,YES,YES,NO,*,*,*,32,143,1096591.78,285421.39,0.2603
*,NO,*,YES,YES,NO,NO,*,NO,0,142,1491589.80,0.00,0.0000
YES,YES,NO,YES,YES,*,NO,YES,*,11,142,1268232.06,96861.66,0.0764
YES,NO,*,YES,YES,*,NO,YES,*,8,142,1505558.45,77475.25,0.0515
*,*,NO,YES,YES,NO,YES,YES,*,37,142,1101060.97,278780.46,0.2532
*,*,NO,YES,YES,*,YES,YES,*,37,142,1101060.97,278780.46,0.2532
*,NO,NO,*,YES,YES,*,YES,*,48,142,1044455.91,305386.53,0.2924
YES,NO,NO,NO,*,*,*,YES,*,41,142,1147218.23,325354.76,0.2836
YES,NO,*,NO,*,*,*,YES,*,41,142,1147218.23,325354.76,0.2836
*,YES,*,*,NO,NO,NO,*,*,32,142,1042247.89,213148.32,0.2045
YES,NO,NO,*,YES,*,NO,*,*,23,142,1228860.70,188536.82,0.1534
NO,*,NO,YES,*,*,*,YES,NO,0,141,1014632.64,0.00,0.0000
YES,YES,NO,YES,YES,*,NO,*,NO,1,141,1249311.57,5020.52,0.0040
*,*,NO,NO,*,*,YES,*,YES,129,141,958249.69,889798.84,0.9286
*,*,*,NO,*,*,YES,*,YES,129,141,958249.69,889798.84,0.9286
*,*,*,*,NO,*,*,*,YES,134,141,929260.80,888395.01,0.9560
NO,NO,*,*,*,*,*,*,YES,129,141,945054.43,860314.65,0.9103
YES,*,NO,NO,*,NO,NO,YES,*,22,141,1021551.31,176209.97,0.1725
YES,*,*,NO,*,NO,NO,YES,*,22,141,1021551.31,176209.97,0.1725
*,NO,NO,*,*,*,YES,*,NO,0,140,1001309.42,0.00,0.0000
YES,YES,NO,*,*,*,YES,*,NO,0,140,1119808.17,0.00,0.0000
YES,*,NO,*,NO,NO,*,*,NO,2,140,1090574.40,19328.03,0.0177
*,*,*,YES,YES,*,*,*,YES,117,140,1225878.08,1034430.54,0.8438
YES,*,*,YES,*,*,YES,YES,*,27,140,1194218.42,224345.73,0.1879
*,*,NO,NO,YES,YES,*,YES,*,51,140,1022982.70,328259.23,0.3209
*,*,*,NO,YES,YES,*,YES,*,51,140,1022982.70,328259.23,0.3209
YES,*,*,*,YES,YES,*,*,*,28,140,1120043.33,197614.09,0.1764
YES,NO,*,*,*,YES,*,*,*,42,140,1111092.38,277188.07,0.2495
*,NO,*,YES,YES,NO,NO,YES,NO,0,139,1474147.41,0.00,0.0000
NO,*,*,*,YES,NO,NO,YES,NO,0,139,1025004.22,0.00,0.0000
*,YES,NO,*,YES,*,YES,YES,NO,0,139,1050094.22,0.00,0.0000
*,*,NO,YES,*,*,YES,YES,NO,0,139,1097549.77,0.00,0.0000
